text,category
BSNL broadband quarterly bill,Utilities
Electricity bill September office,Utilities
Water tanker charges for office building,Utilities
Monthly fiber broadband invoice,Utilities
Generator AMC annual maintenance,Utilities
LPG cylinder for office pantry,Utilities
Telephone line rental charges monthly,Utilities
Power backup UPS maintenance charge,Utilities
Solar panel maintenance fee,Utilities
Electricity surcharge peak hours,Utilities
Water purifier rental and maintenance,Utilities
Internet leased line monthly charges,Utilities
Diesel generator fuel refill charges,Utilities
MSEB electricity bill factory,Utilities
BESCOM power bill Bangalore office,Utilities
TNEB electricity charges Chennai,Utilities
Airtel broadband monthly bill,Utilities
ACT fibernet broadband invoice,Utilities
BWSSB water charges Bangalore,Utilities
Mahanagar Gas bill Mumbai office,Utilities
Adani Electricity bill office,Utilities
Excitel broadband monthly invoice,Utilities
Hathway cable internet charges,Utilities
Flight tickets Mumbai to Delhi business trip,Travel
Hotel accommodation for client meeting,Travel
Uber rides for field sales team,Travel
Train tickets for outstation visit,Travel
Airport cab and parking charges,Travel
Per diem allowance for employee travel,Travel
Visa and travel insurance for international trip,Travel
Fuel reimbursement for office vehicle,Travel
Meal expenses during business travel,Travel
Conference registration and travel cost,Travel
Flight booking Bangalore Delhi return,Travel
Ola cab reimbursement for field visit,Travel
Train fare for outstation audit,Travel
Hotel invoice for 3 nights business trip,Travel
Toll and fuel expenses for company car,Travel
International travel insurance premium,Travel
Bus tickets for staff outstation travel,Travel
Car rental charges for client visit,Travel
Travel agent booking fee,Travel
Airport lounge access charges,Travel
Employee relocation travel expenses,Travel
Sales team travel reimbursement monthly,Travel
Taxi charges for airport pickup drop,Travel
Foreign currency exchange charges,Travel
Team offsite travel and stay expenses,Travel
IndiGo flight ticket sales conference,Travel
Air India business travel booking,Travel
SpiceJet ticket reimbursement,Travel
MakeMyTrip hotel booking invoice,Travel
Goibibo flight and hotel package,Travel
IRCTC train ticket purchase,Travel
OYO rooms business booking,Travel
Treebo hotel invoice corporate,Travel
Team outing food and travel expenses,Travel
Meal bills during employee travel,Travel
Rapido bike taxi reimbursement,Travel
Meru cab service invoice,Travel
Raw material procurement steel sheets,Inventory
Finished goods stock replenishment order,Inventory
Spare parts purchase for machines,Inventory
Electronic components bulk order,Inventory
Fabric rolls and thread purchase,Inventory
Packaging material stock purchase,Inventory
Chemical compounds for manufacturing,Inventory
Hardware tools and equipment purchase,Inventory
Plastic granules for production unit,Inventory
Purchase of goods for retail resale,Inventory
Steel rods and bolts purchase,Inventory
Packaging tape and bubble wrap bulk,Inventory
Plastic containers for storage,Inventory
Electronic sensors batch purchase,Inventory
Cotton fabric rolls for production,Inventory
Spare bearing and machine parts,Inventory
Wood planks and plywood purchase,Inventory
Paint and coating materials stock,Inventory
Rubber gaskets and seals purchase,Inventory
Adhesive and bonding material stock,Inventory
Glass sheets for manufacturing,Inventory
Copper wire bulk purchase,Inventory
Aluminum sheets fabrication stock,Inventory
Battery cells for product assembly,Inventory
Circuit boards component purchase,Inventory
Raw chemicals for processing unit,Inventory
Ink and toner stock replenishment,Inventory
Spare motor and pump parts,Inventory
Nuts bolts and fasteners stock,Inventory
Safety equipment helmets and gloves stock,Inventory
Warehouse rack and storage units,Inventory
JSW steel raw material purchase,Inventory
Tata steel sheets procurement,Inventory
Asian Paints industrial coating,Inventory
Pidilite adhesive bulk order,Inventory
Finolex cables purchase,Inventory
Havells switches and sockets stock,Inventory
Bosch spare parts purchase,Inventory
SKF bearing stock replenishment,Inventory
Hindustan Zinc raw material,Inventory
Vedanta aluminum ingots purchase,Inventory
